DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;1st_exc_en;1st_exc_f;2nd_exc_en;2nd_exc_f;exc_split
ND4.5X1.2;-0.0005;3.2357;4.5;0;0.0019;1.8494;0.0011;1.953;0.6906;0.1036
ND4.5X1.4;-0.0005;3.775;4.5;0;0.0015;1.8586;0.0026;1.9403;0.6846;0.0817
ND4.5X1.6;-0.0005;4.3143;4.5;0;0.0011;1.8655;0.0066;1.9258;0.6755;0.0603
ND4.5X1.8;-0.0005;4.8537;4.5;0;0.0007;1.8714;0.0177;1.9109;0.6593;0.0395
ND4.5X2.0;-0.0005;5.393;4.5;0;0.0003;1.8766;0.0648;1.8974;0.6073;0.0209
ND4.5X2.2;-0.0005;5.9323;4.5;0;-0.0001;1.8781;0.3943;1.8896;0.2735;0.0116
ND4.5X2.4;-0.0005;6.4717;4.5;0;-0.0004;1.8711;0.6238;1.8925;0.0407;0.0213
ND4.5X2.6;-0.0005;7.011;4.5;0;-0.0006;1.864;0.6493;1.8979;0.0129;0.0339
ND4.5X2.8;-0.0005;7.5503;4.5;0;-0.0008;1.8593;0.6541;1.9035;0.0068;0.0442
ND4.5X3.0;-0.0005;8.0897;4.5;0;-0.0009;1.8573;0.6559;1.9089;0.0049;0.0516
ND4.5X3.2;-0.0005;8.629;4.5;0;-0.001;1.8578;0.6576;1.914;0.0038;0.0562
ND4.5X3.4;-0.0005;9.1683;4.5;0;-0.0011;1.86;0.6596;1.9182;0.003;0.0582
ND4.5X3.6;-0.0005;9.7077;4.5;0;-0.0011;1.8632;0.6619;1.9212;0.002;0.058
ND4.5X3.8;-0.0005;10.247;4.5;0;-0.001;1.8667;0.6641;1.9231;0.0011;0.0564
ND4.5X4.0;-0.0005;10.7863;4.5;0;-0.001;1.87;0.6659;1.9239;0.0004;0.0539
ND4.5X4.2;-0.0005;11.3257;4.5;0;-0.0009;1.8729;0.6672;1.9238;0.0001;0.0508
ND5.5X0.0;-0.0007;-0.0004;5.5;0;0.0025;1.819;0;1.9543;0.6953;0.1353
ND5.5X0.2;-0.0007;0.5389;5.5;0;0.0024;1.8204;0;1.9541;0.6949;0.1336
ND5.5X0.4;-0.0007;1.0782;5.5;0;0.0023;1.8253;0;1.9535;0.6944;0.1283
ND5.5X0.6;-0.0007;1.6176;5.5;0;0.0022;1.8326;0.0001;1.9522;0.6937;0.1197
ND5.5X0.8;-0.0007;2.1569;5.5;0;0.002;1.8412;0.0003;1.9497;0.6924;0.1085
ND5.5X1.0;-0.0007;2.6962;5.5;0;0.0017;1.85;0.0009;1.9456;0.6903;0.0955
ND5.5X1.2;-0.0007;3.2356;5.5;0;0.0015;1.8582;0.0019;1.9396;0.687;0.0813
ND5.5X1.4;-0.0007;3.7749;5.5;0;0.0012;1.8654;0.0039;1.932;0.6823;0.0666
ND5.5X1.6;-0.0007;4.3142;5.5;0;0.0009;1.8715;0.0076;1.9232;0.6755;0.0517
ND5.5X1.8;-0.0007;4.8536;5.5;0;0.0006;1.8767;0.0154;1.9139;0.6644;0.0372
ND5.5X2.0;-0.0007;5.3929;5.5;0;0.0004;1.8812;0.0365;1.905;0.64;0.0238
ND5.5X2.2;-0.0007;5.9322;5.5;0;0.0001;1.8847;0.1276;1.8975;0.546;0.0128
ND5.5X2.4;-0.0007;6.4716;5.5;0;-0.0001;1.8847;0.4673;1.8946;0.2039;0.01
ND5.5X2.6;-0.0007;7.0109;5.5;0;-0.0003;1.8807;0.6228;1.8971;0.0465;0.0164
ND5.5X2.8;-0.0007;7.5502;5.5;0;-0.0004;1.877;0.6504;1.9007;0.0177;0.0237
ND5.5X3.0;-0.0007;8.0896;5.5;0;-0.0005;1.8747;0.6581;1.9045;0.0094;0.0298
ND5.5X3.2;-0.0007;8.6289;5.5;0;-0.0006;1.8737;0.6614;1.9079;0.0059;0.0342
ND5.5X3.4;-0.0007;9.1682;5.5;0;-0.0007;1.8738;0.6636;1.9108;0.0039;0.0371
ND5.5X3.6;-0.0007;9.7076;5.5;0;-0.0007;1.8746;0.6653;1.9132;0.0026;0.0386
ND5.5X3.8;-0.0007;10.2469;5.5;0;-0.0007;1.8759;0.6668;1.9149;0.0016;0.0389
