DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;CPL_meV;CPL_cm-1
ND5.5X2.2;-0.0007;5.9322;5.5;0;0.0001;0.1;0.806554
ND5.5X2.4;-0.0007;6.4716;5.5;0;-0.0001;-0.1;-0.806554
ND5.5X2.6;-0.0007;7.0109;5.5;0;-0.0003;-0.3;-2.419662
ND5.5X2.8;-0.0007;7.5502;5.5;0;-0.0004;-0.4;-3.226216
ND5.5X3.0;-0.0007;8.0896;5.5;0;-0.0005;-0.5;-4.03277
ND5.5X3.2;-0.0007;8.6289;5.5;0;-0.0006;-0.6;-4.839324
ND5.5X3.4;-0.0007;9.1682;5.5;0;-0.0007;-0.7;-5.645878
ND5.5X3.6;-0.0007;9.7076;5.5;0;-0.0007;-0.7;-5.645878
ND5.5X3.8;-0.0007;10.2469;5.5;0;-0.0007;-0.7;-5.645878
ND5.5X4.0;-0.0007;10.7862;5.5;0;-0.0007;-0.7;-5.645878
ND5.5X4.2;-0.0007;11.3256;5.5;0;-0.0007;-0.7;-5.645878
ND6.5X0.0;-0.0008;-0.0005;6.5;0;0.0018;1.8;14.517972
ND6.5X0.2;-0.0008;0.5388;6.5;0;0.0018;1.8;14.517972
ND6.5X0.4;-0.0008;1.0782;6.5;0;0.0017;1.7;13.711418
ND6.5X0.6;-0.0008;1.6175;6.5;0;0.0016;1.6;12.904864
ND6.5X0.8;-0.0008;2.1568;6.5;0;0.0015;1.5;12.09831
ND6.5X1.0;-0.0008;2.6962;6.5;0;0.0013;1.3;10.485202
ND6.5X1.2;-0.0008;3.2355;6.5;0;0.0012;1.2;9.678648
ND6.5X1.4;-0.0008;3.7748;6.5;0;0.001;1;8.06554
ND6.5X1.6;-0.0008;4.3142;6.5;0;0.0008;0.8;6.452432
ND6.5X1.8;-0.0008;4.8535;6.5;0;0.0006;0.6;4.839324
ND6.5X2.0;-0.0008;5.3928;6.5;0;0.0004;0.4;3.226216
ND6.5X2.2;-0.0008;5.9322;6.5;0;0.0002;0.2;1.613108
ND6.5X2.4;-0.0008;6.4715;6.5;0;0.0001;0.1;0.806554
ND6.5X2.6;-0.0008;7.0108;6.5;0;-0.0001;-0.1;-0.806554
ND6.5X2.8;-0.0008;7.5502;6.5;0;-0.0002;-0.2;-1.613108
ND6.5X3.0;-0.0008;8.0895;6.5;0;-0.0003;-0.3;-2.419662
ND6.5X3.2;-0.0008;8.6288;6.5;0;-0.0004;-0.4;-3.226216
ND6.5X3.4;-0.0008;9.1682;6.5;0;-0.0004;-0.4;-3.226216
ND6.5X3.6;-0.0008;9.7075;6.5;0;-0.0005;-0.5;-4.03277
ND6.5X3.8;-0.0008;10.2468;6.5;0;-0.0005;-0.5;-4.03277
ND6.5X4.0;-0.0008;10.7862;6.5;0;-0.0005;-0.5;-4.03277
ND6.5X4.2;-0.0008;11.3255;6.5;0;-0.0005;-0.5;-4.03277
ND7.5X0.0;-0.0009;-0.0006;7.5;0;0.0014;1.4;11.291756
ND7.5X0.2;-0.0009;0.5388;7.5;0;0.0013;1.3;10.485202
ND7.5X0.4;-0.0009;1.0781;7.5;0;0.0013;1.3;10.485202
ND7.5X0.6;-0.0009;1.6174;7.5;0;0.0012;1.2;9.678648
ND7.5X0.8;-0.0009;2.1568;7.5;0;0.0012;1.2;9.678648
ND7.5X1.0;-0.0009;2.6961;7.5;0;0.001;1;8.06554
ND7.5X1.2;-0.0009;3.2354;7.5;0;0.0009;0.9;7.258986
ND7.5X1.4;-0.0009;3.7748;7.5;0;0.0008;0.8;6.452432
ND7.5X1.6;-0.0009;4.3141;7.5;0;0.0007;0.7;5.645878
ND7.5X1.8;-0.0009;4.8534;7.5;0;0.0005;0.5;4.03277
ND7.5X2.0;-0.0009;5.3928;7.5;0;0.0004;0.4;3.226216
ND7.5X2.2;-0.0009;5.9321;7.5;0;0.0003;0.3;2.419662
ND7.5X2.4;-0.0009;6.4714;7.5;0;0.0002;0.2;1.613108
ND7.5X2.6;-0.0009;7.0108;7.5;0;0;0;0
ND7.5X2.8;-0.0009;7.5501;7.5;0;0;0;0
ND7.5X3.0;-0.0009;8.0894;7.5;0;-0.0001;-0.1;-0.806554
ND7.5X3.2;-0.0009;8.6288;7.5;0;-0.0002;-0.2;-1.613108
ND7.5X3.4;-0.0009;9.1681;7.5;0;-0.0002;-0.2;-1.613108
ND7.5X3.6;-0.0009;9.7074;7.5;0;-0.0003;-0.3;-2.419662
ND7.5X3.8;-0.0009;10.2468;7.5;0;-0.0003;-0.3;-2.419662
ND7.5X4.0;-0.0009;10.7861;7.5;0;-0.0003;-0.3;-2.419662
ND7.5X4.2;-0.0009;11.3254;7.5;0;-0.0004;-0.4;-3.226216
ND8.5X0.0;-0.001;-0.0007;8.5;0;0.001;1;8.06554
ND8.5X0.2;-0.001;0.5387;8.5;0;0.001;1;8.06554
ND8.5X0.4;-0.001;1.078;8.5;0;0.001;1;8.06554
ND8.5X0.6;-0.001;1.6173;8.5;0;0.001;1;8.06554
ND8.5X0.8;-0.001;2.1567;8.5;0;0.0009;0.9;7.258986
ND8.5X1.0;-0.001;2.696;8.5;0;0.0008;0.8;6.452432
ND8.5X1.2;-0.001;3.2353;8.5;0;0.0007;0.7;5.645878
ND8.5X1.4;-0.001;3.7747;8.5;0;0.0007;0.7;5.645878
ND8.5X1.6;-0.001;4.314;8.5;0;0.0006;0.6;4.839324
ND8.5X1.8;-0.001;4.8533;8.5;0;0.0005;0.5;4.03277
ND8.5X2.0;-0.001;5.3927;8.5;0;0.0004;0.4;3.226216
ND8.5X2.2;-0.001;5.932;8.5;0;0.0003;0.3;2.419662
ND8.5X2.4;-0.001;6.4713;8.5;0;0.0002;0.2;1.613108
ND8.5X2.6;-0.001;7.0107;8.5;0;0.0001;0.1;0.806554
ND8.5X2.8;-0.001;7.55;8.5;0;0;0;0
ND8.5X3.0;-0.001;8.0893;8.5;0;0;0;0
ND8.5X3.2;-0.001;8.6287;8.5;0;-0.0001;-0.1;-0.806554
ND8.5X3.4;-0.001;9.168;8.5;0;-0.0001;-0.1;-0.806554
ND8.5X3.6;-0.001;9.7073;8.5;0;-0.0002;-0.2;-1.613108
ND8.5X3.8;-0.001;10.2467;8.5;0;-0.0002;-0.2;-1.613108
ND8.5X4.0;-0.001;10.786;8.5;0;-0.0002;-0.2;-1.613108
ND8.5X4.2;-0.001;11.3253;8.5;0;-0.0002;-0.2;-1.613108
ND9.5X0.0;-0.0011;-0.0007;9.5;0;0.0008;0.8;6.452432
