DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;CPL_meV;CPL_cm-1
ND5.5X45X90d3.6;-9.5791;-0.042;5.4981;45;0.0005;0.5;4.03277
ND5.5X45X90d3.8;-10.1184;-0.042;5.498;45;0.0004;0.4;3.226216
ND5.5X45X90d4.0;-10.6578;-0.042;5.4979;45;0.0004;0.4;3.226216
ND5.5X45X90d4.2;-11.1971;-0.042;5.4978;45;0.0004;0.4;3.226216
ND3.5X60X0.0;0.1745;-0.032;3.5;60;-0.0025;-2.5;-20.16385
ND3.5X60X0.2;0.1745;0.5073;3.5;60;-0.0025;-2.5;-20.16385
ND3.5X60X0.4;0.1745;1.0466;3.5;60;-0.0023;-2.3;-18.550742
ND3.5X60X0.6;0.1745;1.586;3.5;60;-0.0021;-2.1;-16.937634
ND3.5X60X0.8;0.1745;2.1253;3.5;60;-0.0018;-1.8;-14.517972
ND3.5X60X1.0;0.1745;2.6646;3.5;60;-0.0015;-1.5;-12.09831
ND3.5X60X1.2;0.1745;3.204;3.5;60;-0.0012;-1.2;-9.678648
ND3.5X60X1.4;0.1745;3.7433;3.5;60;-0.0009;-0.9;-7.258986
ND3.5X60X1.6;0.1745;4.2826;3.5;60;-0.0006;-0.6;-4.839324
ND3.5X60X1.8;0.1745;4.822;3.5;60;-0.0004;-0.4;-3.226216
ND3.5X60X2.0;0.1745;5.3613;3.5;60;-0.0001;-0.1;-0.806554
ND3.5X60X2.2;0.1745;5.9006;3.5;60;0.0002;0.2;1.613108
ND3.5X60X2.4;0.1745;6.44;3.5;60;0.0004;0.4;3.226216
ND3.5X60X2.6;0.1745;6.9793;3.5;60;0.0005;0.5;4.03277
ND3.5X60X2.8;0.1745;7.5186;3.5;60;0.0006;0.6;4.839324
ND3.5X60X3.0;0.1745;8.058;3.5;60;0.0007;0.7;5.645878
ND3.5X60X3.2;0.1745;8.5973;3.5;60;0.0007;0.7;5.645878
ND3.5X60X3.4;0.1745;9.1366;3.5;60;0.0007;0.7;5.645878
ND3.5X60X3.6;0.1745;9.676;3.5;60;0.0007;0.7;5.645878
ND3.5X60X3.8;0.1745;10.2153;3.5;60;0.0007;0.7;5.645878
ND3.5X60X4.0;0.1745;10.7546;3.5;60;0.0006;0.6;4.839324
ND3.5X60X4.2;0.1745;11.294;3.5;60;0.0006;0.6;4.839324
ND4.5X60X0.0;0.1744;-0.0321;4.5;60;-0.0017;-1.7;-13.711418
ND4.5X60X0.2;0.1744;0.5072;4.5;60;-0.0017;-1.7;-13.711418
ND4.5X60X0.4;0.1744;1.0466;4.5;60;-0.0016;-1.6;-12.904864
ND4.5X60X0.6;0.1744;1.5859;4.5;60;-0.0015;-1.5;-12.09831
ND4.5X60X0.8;0.1744;2.1252;4.5;60;-0.0014;-1.4;-11.291756
ND4.5X60X1.0;0.1744;2.6646;4.5;60;-0.0012;-1.2;-9.678648
ND4.5X60X1.2;0.1744;3.2039;4.5;60;-0.001;-1;-8.06554
ND4.5X60X1.4;0.1744;3.7432;4.5;60;-0.0008;-0.8;-6.452432
ND4.5X60X1.6;0.1744;4.2826;4.5;60;-0.0006;-0.6;-4.839324
ND4.5X60X1.8;0.1744;4.8219;4.5;60;-0.0004;-0.4;-3.226216
ND4.5X60X2.0;0.1744;5.3612;4.5;60;-0.0002;-0.2;-1.613108
ND4.5X60X2.2;0.1744;5.9006;4.5;60;0;0;0
ND4.5X60X2.4;0.1744;6.4399;4.5;60;0.0001;0.1;0.806554
ND4.5X60X2.6;0.1744;6.9792;4.5;60;0.0003;0.3;2.419662
ND4.5X60X2.8;0.1744;7.5186;4.5;60;0.0003;0.3;2.419662
ND4.5X60X3.0;0.1744;8.0579;4.5;60;0.0004;0.4;3.226216
ND4.5X60X3.2;0.1744;8.5972;4.5;60;0.0005;0.5;4.03277
ND4.5X60X3.4;0.1744;9.1366;4.5;60;0.0005;0.5;4.03277
ND4.5X60X3.6;0.1744;9.6759;4.5;60;0.0005;0.5;4.03277
ND4.5X60X3.8;0.1744;10.2152;4.5;60;0.0005;0.5;4.03277
ND4.5X60X4.0;0.1744;10.7546;4.5;60;0.0005;0.5;4.03277
ND4.5X60X4.2;0.1744;11.2939;4.5;60;0.0004;0.4;3.226216
ND5.5X60X0.0;0.1743;-0.0322;5.5;60;-0.0012;-1.2;-9.678648
ND5.5X60X0.2;0.1743;0.5072;5.5;60;-0.0012;-1.2;-9.678648
ND5.5X60X0.4;0.1743;1.0465;5.5;60;-0.0012;-1.2;-9.678648
ND5.5X60X0.6;0.1743;1.5858;5.5;60;-0.0011;-1.1;-8.872094
ND5.5X60X0.8;0.1743;2.1252;5.5;60;-0.001;-1;-8.06554
ND5.5X60X1.0;0.1743;2.6645;5.5;60;-0.0009;-0.9;-7.258986
ND5.5X60X1.2;0.1743;3.2038;5.5;60;-0.0008;-0.8;-6.452432
ND5.5X60X1.4;0.1743;3.7432;5.5;60;-0.0006;-0.6;-4.839324
ND5.5X60X1.6;0.1743;4.2825;5.5;60;-0.0005;-0.5;-4.03277
ND5.5X60X1.8;0.1743;4.8218;5.5;60;-0.0004;-0.4;-3.226216
ND5.5X60X2.0;0.1743;5.3612;5.5;60;-0.0002;-0.2;-1.613108
ND5.5X60X2.2;0.1743;5.9005;5.5;60;-0.0001;-0.1;-0.806554
ND5.5X60X2.4;0.1743;6.4398;5.5;60;0;0;0
ND5.5X60X2.6;0.1743;6.9792;5.5;60;0.0001;0.1;0.806554
ND5.5X60X2.8;0.1743;7.5185;5.5;60;0.0002;0.2;1.613108
ND5.5X60X3.0;0.1743;8.0578;5.5;60;0.0002;0.2;1.613108
ND5.5X60X3.2;0.1743;8.5972;5.5;60;0.0003;0.3;2.419662
ND5.5X60X3.4;0.1743;9.1365;5.5;60;0.0003;0.3;2.419662
ND5.5X60X3.6;0.1743;9.6758;5.5;60;0.0003;0.3;2.419662
ND5.5X60X3.8;0.1743;10.2152;5.5;60;0.0003;0.3;2.419662
ND5.5X60X4.0;0.1743;10.7545;5.5;60;0.0003;0.3;2.419662
ND5.5X60X4.2;0.1743;11.2938;5.5;60;0.0003;0.3;2.419662
ND3.5X60X45d0.0;0.1745;-0.032;3.5;60;-0.0025;-2.5;-20.16385
ND3.5X60X45d0.2;-0.2069;0.3493;3.5;60;-0.0024;-2.4;-19.357296
ND3.5X60X45d0.4;-0.5882;0.7307;3.4999;60;-0.0023;-2.3;-18.550742
ND3.5X60X45d0.6;-0.9696;1.1121;3.4998;60;-0.002;-2;-16.13108
ND3.5X60X45d0.8;-1.351;1.4934;3.4998;60;-0.0016;-1.6;-12.904864
ND3.5X60X45d1.0;-1.7323;1.8748;3.4997;60;-0.0012;-1.2;-9.678648
ND3.5X60X45d1.2;-2.1137;2.2562;3.4997;60;-0.0008;-0.8;-6.452432
ND3.5X60X45d1.4;-2.4951;2.6375;3.4996;60;-0.0005;-0.5;-4.03277
ND3.5X60X45d1.6;-2.8764;3.0189;3.4996;60;-0.0001;-0.1;-0.806554
ND3.5X60X45d1.8;-3.2578;3.4003;3.4995;60;0.0003;0.3;2.419662
ND3.5X60X45d2.0;-3.6392;3.7816;3.4994;60;0.0007;0.7;5.645878
ND3.5X60X45d2.2;-4.0205;4.163;3.4994;60;0.001;1;8.06554
ND3.5X60X45d2.4;-4.4019;4.5444;3.4993;60;0.0012;1.2;9.678648
ND3.5X60X45d2.6;-4.7833;4.9257;3.4993;60;0.0013;1.3;10.485202
ND3.5X60X45d2.8;-5.1646;5.3071;3.4992;60;0.0014;1.4;11.291756
ND3.5X60X45d3.0;-5.546;5.6885;3.4992;60;0.0014;1.4;11.291756
ND3.5X60X45d3.2;-5.9274;6.0698;3.4991;60;0.0013;1.3;10.485202
ND3.5X60X45d3.4;-6.3087;6.4512;3.499;60;0.0013;1.3;10.485202
ND3.5X60X45d3.6;-6.6901;6.8326;3.499;60;0.0012;1.2;9.678648
ND3.5X60X45d3.8;-7.0715;7.2139;3.4989;60;0.0011;1.1;8.872094
ND3.5X60X45d4.0;-7.4528;7.5953;3.4989;60;0.001;1;8.06554
ND3.5X60X45d4.2;-7.8342;7.9767;3.4988;60;0.0009;0.9;7.258986
ND4.5X60X45d0.0;0.1744;-0.0321;4.5;60;-0.0017;-1.7;-13.711418
ND4.5X60X45d0.2;-0.207;0.3493;4.5;60;-0.0017;-1.7;-13.711418
ND4.5X60X45d0.4;-0.5883;0.7306;4.4999;60;-0.0016;-1.6;-12.904864
ND4.5X60X45d0.6;-0.9697;1.112;4.4998;60;-0.0014;-1.4;-11.291756
ND4.5X60X45d0.8;-1.3511;1.4934;4.4998;60;-0.0012;-1.2;-9.678648
ND4.5X60X45d1.0;-1.7324;1.8747;4.4997;60;-0.001;-1;-8.06554
ND4.5X60X45d1.2;-2.1138;2.2561;4.4997;60;-0.0007;-0.7;-5.645878
ND4.5X60X45d1.4;-2.4952;2.6375;4.4996;60;-0.0005;-0.5;-4.03277
ND4.5X60X45d1.6;-2.8765;3.0188;4.4996;60;-0.0002;-0.2;-1.613108
ND4.5X60X45d1.8;-3.2579;3.4002;4.4995;60;0.0001;0.1;0.806554
ND4.5X60X45d2.0;-3.6393;3.7816;4.4994;60;0.0003;0.3;2.419662
ND4.5X60X45d2.2;-4.0206;4.1629;4.4994;60;0.0005;0.5;4.03277
ND4.5X60X45d2.4;-4.402;4.5443;4.4993;60;0.0007;0.7;5.645878
ND4.5X60X45d2.6;-4.7834;4.9257;4.4993;60;0.0008;0.8;6.452432
ND4.5X60X45d2.8;-5.1647;5.307;4.4992;60;0.0009;0.9;7.258986
ND4.5X60X45d3.0;-5.5461;5.6884;4.4992;60;0.0009;0.9;7.258986
ND4.5X60X45d3.2;-5.9275;6.0698;4.4991;60;0.0009;0.9;7.258986
ND4.5X60X45d3.4;-6.3088;6.4511;4.499;60;0.0009;0.9;7.258986
ND4.5X60X45d3.6;-6.6902;6.8325;4.499;60;0.0009;0.9;7.258986
ND4.5X60X45d3.8;-7.0716;7.2139;4.4989;60;0.0008;0.8;6.452432
ND4.5X60X45d4.0;-7.4529;7.5952;4.4989;60;0.0008;0.8;6.452432
ND4.5X60X45d4.2;-7.8343;7.9766;4.4988;60;0.0007;0.7;5.645878
ND5.5X60X45d0.0;0.1743;-0.0322;5.5;60;-0.0012;-1.2;-9.678648
ND5.5X60X45d0.2;-0.2071;0.3492;5.5;60;-0.0012;-1.2;-9.678648
ND5.5X60X45d0.4;-0.5885;0.7306;5.4999;60;-0.0012;-1.2;-9.678648
ND5.5X60X45d0.6;-0.9698;1.1119;5.4998;60;-0.0011;-1.1;-8.872094
ND5.5X60X45d0.8;-1.3512;1.4933;5.4998;60;-0.0009;-0.9;-7.258986
ND5.5X60X45d1.0;-1.7326;1.8747;5.4997;60;-0.0008;-0.8;-6.452432
ND5.5X60X45d1.2;-2.1139;2.256;5.4997;60;-0.0006;-0.6;-4.839324
ND5.5X60X45d1.4;-2.4953;2.6374;5.4996;60;-0.0004;-0.4;-3.226216
ND5.5X60X45d1.6;-2.8767;3.0188;5.4996;60;-0.0002;-0.2;-1.613108
ND5.5X60X45d1.8;-3.258;3.4001;5.4995;60;-0.0001;-0.1;-0.806554
ND5.5X60X45d2.0;-3.6394;3.7815;5.4994;60;0.0001;0.1;0.806554
ND5.5X60X45d2.2;-4.0208;4.1629;5.4994;60;0.0002;0.2;1.613108
ND5.5X60X45d2.4;-4.4021;4.5442;5.4993;60;0.0004;0.4;3.226216
ND5.5X60X45d2.6;-4.7835;4.9256;5.4993;60;0.0005;0.5;4.03277
ND5.5X60X45d2.8;-5.1649;5.3069;5.4992;60;0.0005;0.5;4.03277
ND5.5X60X45d3.0;-5.5462;5.6883;5.4992;60;0.0006;0.6;4.839324
ND5.5X60X45d3.2;-5.9276;6.0697;5.4991;60;0.0006;0.6;4.839324
ND5.5X60X45d3.4;-6.309;6.451;5.499;60;0.0006;0.6;4.839324
ND5.5X60X45d3.6;-6.6903;6.8324;5.499;60;0.0006;0.6;4.839324
ND5.5X60X45d3.8;-7.0717;7.2138;5.4989;60;0.0006;0.6;4.839324
ND5.5X60X45d4.0;-7.4531;7.5951;5.4989;60;0.0006;0.6;4.839324
ND5.5X60X45d4.2;-7.8344;7.9765;5.4988;60;0.0006;0.6;4.839324
ND3.5X60X90d0.0;0.1745;-0.032;3.5;60;-0.0025;-2.5;-20.16385
ND3.5X60X90d0.2;-0.3648;-0.032;3.4999;60;-0.0025;-2.5;-20.16385
ND3.5X60X90d0.4;-0.9042;-0.032;3.4998;60;-0.0024;-2.4;-19.357296
ND3.5X60X90d0.6;-1.4435;-0.032;3.4997;60;-0.0023;-2.3;-18.550742
ND3.5X60X90d0.8;-1.9828;-0.032;3.4996;60;-0.0022;-2.2;-17.744188
ND3.5X60X90d1.0;-2.5222;-0.032;3.4995;60;-0.0021;-2.1;-16.937634
ND3.5X60X90d1.2;-3.0615;-0.032;3.4994;60;-0.0019;-1.9;-15.324526
ND3.5X60X90d1.4;-3.6008;-0.032;3.4993;60;-0.0018;-1.8;-14.517972
ND3.5X60X90d1.6;-4.1402;-0.032;3.4992;60;-0.0016;-1.6;-12.904864
ND3.5X60X90d1.8;-4.6795;-0.032;3.4991;60;-0.0015;-1.5;-12.09831
ND3.5X60X90d2.0;-5.2188;-0.032;3.499;60;-0.0014;-1.4;-11.291756
ND3.5X60X90d2.2;-5.7582;-0.032;3.4989;60;-0.0012;-1.2;-9.678648
ND3.5X60X90d2.4;-6.2975;-0.032;3.4988;60;-0.0011;-1.1;-8.872094
ND3.5X60X90d2.6;-6.8368;-0.032;3.4986;60;-0.001;-1;-8.06554
ND3.5X60X90d2.8;-7.3762;-0.032;3.4985;60;-0.0009;-0.9;-7.258986
ND3.5X60X90d3.0;-7.9155;-0.032;3.4984;60;-0.0008;-0.8;-6.452432
ND3.5X60X90d3.2;-8.4548;-0.032;3.4983;60;-0.0007;-0.7;-5.645878
ND3.5X60X90d3.4;-8.9942;-0.032;3.4982;60;-0.0006;-0.6;-4.839324
ND3.5X60X90d3.6;-9.5335;-0.032;3.4981;60;-0.0005;-0.5;-4.03277
ND3.5X60X90d3.8;-10.0728;-0.032;3.498;60;-0.0005;-0.5;-4.03277
ND3.5X60X90d4.0;-10.6122;-0.032;3.4979;60;-0.0004;-0.4;-3.226216
ND3.5X60X90d4.2;-11.1515;-0.032;3.4978;60;-0.0004;-0.4;-3.226216
ND4.5X60X90d0.0;0.1744;-0.0321;4.5;60;-0.0017;-1.7;-13.711418
ND4.5X60X90d0.2;-0.3649;-0.0321;4.4999;60;-0.0017;-1.7;-13.711418
ND4.5X60X90d0.4;-0.9043;-0.0321;4.4998;60;-0.0017;-1.7;-13.711418
ND4.5X60X90d0.6;-1.4436;-0.0321;4.4997;60;-0.0016;-1.6;-12.904864
ND4.5X60X90d0.8;-1.9829;-0.0321;4.4996;60;-0.0016;-1.6;-12.904864
ND4.5X60X90d1.0;-2.5223;-0.0321;4.4995;60;-0.0015;-1.5;-12.09831
ND4.5X60X90d1.2;-3.0616;-0.0321;4.4994;60;-0.0014;-1.4;-11.291756
ND4.5X60X90d1.4;-3.6009;-0.0321;4.4993;60;-0.0013;-1.3;-10.485202
ND4.5X60X90d1.6;-4.1403;-0.0321;4.4992;60;-0.0012;-1.2;-9.678648
ND4.5X60X90d1.8;-4.6796;-0.0321;4.4991;60;-0.0011;-1.1;-8.872094
ND4.5X60X90d2.0;-5.2189;-0.0321;4.499;60;-0.001;-1;-8.06554
ND4.5X60X90d2.2;-5.7583;-0.0321;4.4989;60;-0.001;-1;-8.06554
ND4.5X60X90d2.4;-6.2976;-0.0321;4.4988;60;-0.0009;-0.9;-7.258986
ND4.5X60X90d2.6;-6.8369;-0.0321;4.4986;60;-0.0008;-0.8;-6.452432
ND4.5X60X90d2.8;-7.3763;-0.0321;4.4985;60;-0.0007;-0.7;-5.645878
ND4.5X60X90d3.0;-7.9156;-0.0321;4.4984;60;-0.0006;-0.6;-4.839324
ND4.5X60X90d3.2;-8.4549;-0.0321;4.4983;60;-0.0006;-0.6;-4.839324
ND4.5X60X90d3.4;-8.9943;-0.0321;4.4982;60;-0.0005;-0.5;-4.03277
ND4.5X60X90d3.6;-9.5336;-0.0321;4.4981;60;-0.0004;-0.4;-3.226216
ND4.5X60X90d3.8;-10.0729;-0.0321;4.498;60;-0.0004;-0.4;-3.226216
ND4.5X60X90d4.0;-10.6123;-0.0321;4.4979;60;-0.0004;-0.4;-3.226216
ND4.5X60X90d4.2;-11.1516;-0.0321;4.4978;60;-0.0003;-0.3;-2.419662
ND5.5X60X90d0.0;0.1743;-0.0322;5.5;60;-0.0012;-1.2;-9.678648
ND5.5X60X90d0.2;-0.3651;-0.0322;5.4999;60;-0.0012;-1.2;-9.678648
ND5.5X60X90d0.4;-0.9044;-0.0322;5.4998;60;-0.0012;-1.2;-9.678648
ND5.5X60X90d0.6;-1.4437;-0.0322;5.4997;60;-0.0012;-1.2;-9.678648
ND5.5X60X90d0.8;-1.9831;-0.0322;5.4996;60;-0.0011;-1.1;-8.872094
ND5.5X60X90d1.0;-2.5224;-0.0322;5.4995;60;-0.0011;-1.1;-8.872094
ND5.5X60X90d1.2;-3.0617;-0.0322;5.4994;60;-0.001;-1;-8.06554
ND5.5X60X90d1.4;-3.6011;-0.0322;5.4993;60;-0.001;-1;-8.06554
ND5.5X60X90d1.6;-4.1404;-0.0322;5.4992;60;-0.0009;-0.9;-7.258986
ND5.5X60X90d1.8;-4.6797;-0.0322;5.4991;60;-0.0009;-0.9;-7.258986
ND5.5X60X90d2.0;-5.2191;-0.0322;5.499;60;-0.0008;-0.8;-6.452432
ND5.5X60X90d2.2;-5.7584;-0.0322;5.4989;60;-0.0007;-0.7;-5.645878
ND5.5X60X90d2.4;-6.2977;-0.0322;5.4988;60;-0.0007;-0.7;-5.645878
ND5.5X60X90d2.6;-6.8371;-0.0322;5.4986;60;-0.0006;-0.6;-4.839324
ND5.5X60X90d2.8;-7.3764;-0.0322;5.4985;60;-0.0006;-0.6;-4.839324
ND5.5X60X90d3.0;-7.9157;-0.0322;5.4984;60;-0.0005;-0.5;-4.03277
ND5.5X60X90d3.2;-8.4551;-0.0322;5.4983;60;-0.0005;-0.5;-4.03277
ND5.5X60X90d3.4;-8.9944;-0.0322;5.4982;60;-0.0004;-0.4;-3.226216
ND5.5X60X90d3.6;-9.5337;-0.0322;5.4981;60;-0.0004;-0.4;-3.226216
ND5.5X60X90d3.8;-10.0731;-0.0322;5.498;60;-0.0003;-0.3;-2.419662
ND5.5X60X90d4.0;-10.6124;-0.0322;5.4979;60;-0.0003;-0.3;-2.419662
ND5.5X60X90d4.2;-11.1517;-0.0322;5.4978;60;-0.0003;-0.3;-2.419662
ND3.5X90X0.0;0.2502;0.0204;3.5;90;0;0;0
ND3.5X90X0.2;0.2502;0.5597;3.5;90;-0.0001;-0.1;-0.806554
ND3.5X90X0.4;0.2502;1.099;3.5;90;-0.0001;-0.1;-0.806554
ND3.5X90X0.6;0.2502;1.6384;3.5;90;-0.0001;-0.1;-0.806554
ND3.5X90X0.8;0.2502;2.1777;3.5;90;-0.0002;-0.2;-1.613108
ND3.5X90X1.0;0.2502;2.717;3.5;90;-0.0002;-0.2;-1.613108
ND3.5X90X1.2;0.2502;3.2564;3.5;90;-0.0002;-0.2;-1.613108
ND3.5X90X1.4;0.2502;3.7957;3.5;90;-0.0002;-0.2;-1.613108
ND3.5X90X1.6;0.2502;4.335;3.5;90;-0.0002;-0.2;-1.613108
ND3.5X90X1.8;0.2502;4.8744;3.5;90;-0.0002;-0.2;-1.613108
ND3.5X90X2.0;0.2502;5.4137;3.5;90;-0.0002;-0.2;-1.613108
ND3.5X90X2.2;0.2502;5.953;3.5;90;-0.0002;-0.2;-1.613108
ND3.5X90X2.4;0.2502;6.4924;3.5;90;-0.0001;-0.1;-0.806554
ND3.5X90X2.6;0.2502;7.0317;3.5;90;-0.0001;-0.1;-0.806554
ND3.5X90X2.8;0.2502;7.571;3.5;90;-0.0001;-0.1;-0.806554
ND3.5X90X3.0;0.2502;8.1104;3.5;90;-0.0001;-0.1;-0.806554
ND3.5X90X3.2;0.2502;8.6497;3.5;90;0;0;0
ND3.5X90X3.4;0.2502;9.189;3.5;90;0;0;0
ND3.5X90X3.6;0.2502;9.7284;3.5;90;0;0;0
ND3.5X90X3.8;0.2502;10.2677;3.5;90;0;0;0
ND3.5X90X4.0;0.2502;10.807;3.5;90;0;0;0
ND3.5X90X4.2;0.2502;11.3464;3.5;90;0;0;0
ND5.5X90X0.0;0.2499;0.0202;5.5;90;0;0;0
ND5.5X90X0.2;0.2499;0.5596;5.5;90;0;0;0
ND5.5X90X0.4;0.2499;1.0989;5.5;90;0;0;0
ND5.5X90X0.6;0.2499;1.6382;5.5;90;-0.0001;-0.1;-0.806554
ND5.5X90X0.8;0.2499;2.1776;5.5;90;-0.0001;-0.1;-0.806554
ND5.5X90X1.0;0.2499;2.7169;5.5;90;-0.0001;-0.1;-0.806554
ND5.5X90X1.2;0.2499;3.2562;5.5;90;-0.0001;-0.1;-0.806554
ND5.5X90X1.4;0.2499;3.7956;5.5;90;-0.0001;-0.1;-0.806554
ND5.5X90X1.6;0.2499;4.3349;5.5;90;-0.0001;-0.1;-0.806554
ND5.5X90X1.8;0.2499;4.8742;5.5;90;-0.0001;-0.1;-0.806554
ND5.5X90X2.0;0.2499;5.4136;5.5;90;-0.0001;-0.1;-0.806554
ND5.5X90X2.2;0.2499;5.9529;5.5;90;-0.0001;-0.1;-0.806554
ND5.5X90X2.4;0.2499;6.4922;5.5;90;-0.0001;-0.1;-0.806554
ND5.5X90X2.6;0.2499;7.0316;5.5;90;-0.0001;-0.1;-0.806554
ND5.5X90X2.8;0.2499;7.5709;5.5;90;0;0;0
ND5.5X90X3.0;0.2499;8.1102;5.5;90;0;0;0
ND5.5X90X3.2;0.2499;8.6496;5.5;90;0;0;0
ND5.5X90X3.4;0.2499;9.1889;5.5;90;0;0;0
ND5.5X90X3.6;0.2499;9.7282;5.5;90;0;0;0
ND5.5X90X3.8;0.2499;10.2676;5.5;90;0;0;0
ND5.5X90X4.0;0.2499;10.8069;5.5;90;0;0;0
ND5.5X90X4.2;0.2499;11.3462;5.5;90;0;0;0
ND3.5X90X45d0.0;0.2502;0.0204;3.5;90;0;0;0
ND3.5X90X45d0.2;-0.1312;0.4017;3.5;90;0;0;0
ND3.5X90X45d0.4;-0.5126;0.7831;3.4999;90;0.0001;0.1;0.806554
ND3.5X90X45d0.6;-0.8939;1.1645;3.4999;90;0.0002;0.2;1.613108
ND3.5X90X45d0.8;-1.2753;1.5458;3.4998;90;0.0004;0.4;3.226216
ND3.5X90X45d1.0;-1.6567;1.9272;3.4997;90;0.0006;0.6;4.839324
ND3.5X90X45d1.2;-2.038;2.3086;3.4997;90;0.0009;0.9;7.258986
ND3.5X90X45d1.4;-2.4194;2.6899;3.4996;90;0.0011;1.1;8.872094
ND3.5X90X45d1.6;-2.8008;3.0713;3.4996;90;0.0013;1.3;10.485202
ND3.5X90X45d1.8;-3.1821;3.4527;3.4995;90;0.0015;1.5;12.09831
ND3.5X90X45d2.0;-3.5635;3.834;3.4995;90;0.0017;1.7;13.711418
ND3.5X90X45d2.2;-3.9449;4.2154;3.4994;90;0.0018;1.8;14.517972
ND3.5X90X45d2.4;-4.3262;4.5968;3.4993;90;0.0018;1.8;14.517972
ND3.5X90X45d2.6;-4.7076;4.9781;3.4993;90;0.0018;1.8;14.517972
ND3.5X90X45d2.8;-5.089;5.3595;3.4992;90;0.0018;1.8;14.517972
ND3.5X90X45d3.0;-5.4703;5.7409;3.4992;90;0.0017;1.7;13.711418
ND3.5X90X45d3.2;-5.8517;6.1222;3.4991;90;0.0015;1.5;12.09831
ND3.5X90X45d3.4;-6.2331;6.5036;3.4991;90;0.0014;1.4;11.291756
ND3.5X90X45d3.6;-6.6144;6.885;3.499;90;0.0013;1.3;10.485202
ND3.5X90X45d3.8;-6.9958;7.2663;3.4989;90;0.0012;1.2;9.678648
ND3.5X90X45d4.0;-7.3772;7.6477;3.4989;90;0.001;1;8.06554
ND3.5X90X45d4.2;-7.7585;8.0291;3.4988;90;0.0009;0.9;7.258986
ND4.5X90X45d0.0;0.25;0.0203;4.5;90;0;0;0
ND4.5X90X45d0.2;-0.1313;0.4017;4.5;90;0;0;0
ND4.5X90X45d0.4;-0.5127;0.783;4.4999;90;0;0;0
ND4.5X90X45d0.6;-0.8941;1.1644;4.4999;90;0.0001;0.1;0.806554
ND4.5X90X45d0.8;-1.2754;1.5458;4.4998;90;0.0002;0.2;1.613108
ND4.5X90X45d1.0;-1.6568;1.9271;4.4997;90;0.0004;0.4;3.226216
ND4.5X90X45d1.2;-2.0382;2.3085;4.4997;90;0.0005;0.5;4.03277
ND4.5X90X45d1.4;-2.4195;2.6899;4.4996;90;0.0007;0.7;5.645878
ND4.5X90X45d1.6;-2.8009;3.0712;4.4996;90;0.0008;0.8;6.452432
ND4.5X90X45d1.8;-3.1823;3.4526;4.4995;90;0.0009;0.9;7.258986
ND4.5X90X45d2.0;-3.5636;3.834;4.4995;90;0.0011;1.1;8.872094
ND4.5X90X45d2.2;-3.945;4.2153;4.4994;90;0.0011;1.1;8.872094
ND4.5X90X45d2.4;-4.3264;4.5967;4.4993;90;0.0012;1.2;9.678648
ND4.5X90X45d2.6;-4.7077;4.9781;4.4993;90;0.0012;1.2;9.678648
ND4.5X90X45d2.8;-5.0891;5.3594;4.4992;90;0.0012;1.2;9.678648
ND4.5X90X45d3.0;-5.4705;5.7408;4.4992;90;0.0012;1.2;9.678648
ND4.5X90X45d3.2;-5.8518;6.1222;4.4991;90;0.0011;1.1;8.872094
ND4.5X90X45d3.4;-6.2332;6.5035;4.4991;90;0.001;1;8.06554
ND4.5X90X45d3.6;-6.6146;6.8849;4.499;90;0.001;1;8.06554
ND4.5X90X45d3.8;-6.9959;7.2663;4.4989;90;0.0009;0.9;7.258986
ND4.5X90X45d4.0;-7.3773;7.6476;4.4989;90;0.0008;0.8;6.452432
ND4.5X90X45d4.2;-7.7587;8.029;4.4988;90;0.0008;0.8;6.452432
ND3.5X90X90d0.0;0.2502;0.0204;3.5;90;0;0;0
ND3.5X90X90d0.2;-0.2892;0.0204;3.4999;90;0;0;0
ND3.5X90X90d0.4;-0.8285;0.0204;3.4998;90;0;0;0
ND3.5X90X90d0.6;-1.3678;0.0204;3.4997;90;0;0;0
ND3.5X90X90d0.8;-1.9072;0.0204;3.4996;90;0;0;0
ND3.5X90X90d1.0;-2.4465;0.0204;3.4995;90;0;0;0
ND3.5X90X90d1.2;-2.9858;0.0204;3.4994;90;0;0;0
ND3.5X90X90d1.4;-3.5252;0.0204;3.4993;90;0;0;0
ND3.5X90X90d1.6;-4.0645;0.0204;3.4992;90;0;0;0
ND3.5X90X90d1.8;-4.6038;0.0204;3.4991;90;0;0;0
ND3.5X90X90d2.0;-5.1432;0.0204;3.499;90;0;0;0
ND3.5X90X90d2.2;-5.6825;0.0204;3.4989;90;0;0;0
ND3.5X90X90d2.4;-6.2218;0.0204;3.4988;90;0;0;0
ND3.5X90X90d2.6;-6.7612;0.0204;3.4987;90;0;0;0
ND3.5X90X90d2.8;-7.3005;0.0204;3.4986;90;0;0;0
ND3.5X90X90d3.0;-7.8398;0.0204;3.4984;90;0;0;0
ND3.5X90X90d3.2;-8.3792;0.0204;3.4983;90;0;0;0
ND3.5X90X90d3.4;-8.9185;0.0204;3.4982;90;0;0;0
ND3.5X90X90d3.6;-9.4578;0.0204;3.4981;90;0;0;0
ND3.5X90X90d3.8;-9.9972;0.0204;3.498;90;0;0;0
ND3.5X90X90d4.0;-10.5365;0.0204;3.4979;90;0;0;0
ND3.5X90X90d4.2;-11.0758;0.0204;3.4978;90;0;0;0
