DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;1st_exc_en;1st_exc_f;2nd_exc_en;2nd_exc_f;exc_split
ND4.5X0X45d3.2;-6.102396;6.101513;4.499078;0;2.92E-05;1.88980763;0.30586998;1.89784158;0.36864411;0.00803395
ND4.5X0X45d3.4;-6.483762;6.48288;4.499021;0;-1.90E-05;1.89102721;0.43618514;1.89694375;0.23802646;0.00591654
ND4.5X0X45d3.6;-6.865128;6.864247;4.498962;0;-5.16E-05;1.89145926;0.51540785;1.89798072;0.15880825;0.00652146
ND4.5X0X45d3.8;-7.246495;7.245613;4.498905;0;-7.27E-05;1.89192825;0.55661327;1.89887295;0.11770106;0.00694471
ND4.5X0X45d4.0;-7.62786;7.626978;4.498848;0;-8.57E-05;1.89246059;0.5812701;1.89956739;0.09319599;0.0071068
ND4.5X0X45d4.2;-8.009227;8.008345;4.49879;0;-9.29E-05;1.89303259;0.59787787;1.90009629;0.07676786;0.0070637
ND5.5X0X45d0.0;-0.000656;-0.000422;5.5;0;0.00247266;1.81897648;1.63E-05;1.95431612;0.69525896;0.13533964
ND5.5X0X45d0.2;-0.382023;0.380944;5.499943;0;0.00244545;1.82001262;2.03E-05;1.95402948;0.69486782;0.13401686
ND5.5X0X45d0.4;-0.763389;0.76231;5.499884;0;0.00236627;1.82325893;2.94E-05;1.95304828;0.6942538;0.12978935
ND5.5X0X45d0.6;-1.144755;1.143676;5.499827;0;0.00224249;1.82819446;4.20E-05;1.95126133;0.69341688;0.12306687
ND5.5X0X45d0.8;-1.526121;1.525043;5.49977;0;0.00208365;1.83425202;5.15E-05;1.94862002;0.69237082;0.114368
ND5.5X0X45d1.0;-1.907487;1.906409;5.499712;0;0.0018993;1.84097624;4.71E-05;1.94517884;0.69115611;0.1042026
ND5.5X0X45d1.2;-2.288854;2.287776;5.499654;0;0.00169791;1.84801578;2.37E-05;1.94105663;0.68981872;0.09304085
ND5.5X0X45d1.4;-2.670219;2.669141;5.499596;0;0.00148699;1.85504013;5.10E-07;1.93637581;0.68836628;0.08133568
ND5.5X0X45d1.6;-3.051586;3.050507;5.499539;0;0.00127354;1.86171054;3.25E-05;1.93124197;0.68674666;0.06953143
ND5.5X0X45d1.8;-3.432952;3.431874;5.499482;0;0.00106447;1.86773982;0.00019987;1.92577944;0.68488109;0.05803962
ND5.5X0X45d2.0;-3.814318;3.813241;5.499423;0;0.00086648;1.87296872;0.00059148;1.92018574;0.68271652;0.04721702
ND5.5X0X45d2.2;-4.195684;4.194606;5.499366;0;0.00068554;1.87739209;0.00133657;1.91475311;0.68021166;0.03736103
ND5.5X0X45d2.4;-4.57705;4.575973;5.499309;0;0.00052604;1.88112369;0.00273275;1.90982275;0.6771888;0.02869906
ND5.5X0X45d2.6;-4.958417;4.957339;5.499251;0;0.00039032;1.88431546;0.00553786;1.9056845;0.67299711;0.02136905
ND5.5X0X45d2.8;-5.339783;5.338705;5.499193;0;0.00027854;1.88707545;0.0116414;1.90248834;0.66580335;0.01541289
ND5.5X0X45d3.0;-5.721149;5.720071;5.499136;0;0.00018911;1.88943362;0.02570997;1.90023013;0.65093846;0.01079651
ND5.5X0X45d3.2;-6.102515;6.101437;5.499078;0;0.0001193;1.89135986;0.05879546;1.89881106;0.61730836;0.0074512
ND5.5X0X45d3.4;-6.483881;6.482804;5.499021;0;6.60E-05;1.89280307;0.13119587;1.89811422;0.54455965;0.00531115
ND5.5X0X45d3.6;-6.865248;6.86417;5.498962;0;2.59E-05;1.89375151;0.25195209;1.89801878;0.42360067;0.00426726
ND5.5X0X45d3.8;-7.246614;7.245536;5.498905;0;-3.52E-06;1.89431929;0.37940071;1.89833063;0.2960547;0.00401134
ND5.5X0X45d4.0;-7.62798;7.626902;5.498848;0;-2.48E-05;1.89470234;0.47095582;1.8988125;0.20447745;0.00411017
ND5.5X0X45d4.2;-8.009346;8.008268;5.49879;0;-3.98E-05;1.89503473;0.52763709;1.89930949;0.14782639;0.00427476
ND6.5X0X45d0.0;-0.000776;-0.000499;6.5;0;0.0018089;1.84355253;1.32E-06;1.9423453;0.69160331;0.09879277
ND6.5X0X45d0.2;-0.382142;0.380868;6.499943;0;0.00179268;1.84402001;1.19E-06;1.94200162;0.6913578;0.09798161
ND6.5X0X45d0.4;-0.763508;0.762234;6.499884;0;0.00174478;1.84564579;9.00E-07;1.9410658;0.69091185;0.09542
ND6.5X0X45d0.6;-1.144874;1.1436;6.499827;0;0.00166829;1.84826387;3.80E-07;1.93953679;0.69027814;0.09127292
ND6.5X0X45d0.8;-1.52624;1.524967;6.49977;0;0.00156766;1.8516498;2.00E-08;1.93743223;0.68947299;0.08578243
ND6.5X0X45d1.0;-1.907607;1.906333;6.499712;0;0.00144804;1.85556791;2.54E-06;1.93479906;0.68851617;0.07923114
ND6.5X0X45d1.2;-2.288973;2.287699;6.499654;0;0.00131476;1.85979586;1.55E-05;1.93171146;0.68742667;0.0719156
ND6.5X0X45d1.4;-2.670339;2.669065;6.499596;0;0.00117304;1.86413128;5.36E-05;1.9282627;0.68621737;0.06413142
ND6.5X0X45d1.6;-3.051705;3.050431;6.499539;0;0.00102787;1.86839627;0.00013903;1.92455978;0.6848938;0.05616351
ND6.5X0X45d1.8;-3.433071;3.431797;6.499482;0;0.00088396;1.87244767;0.00030158;1.92072482;0.68345722;0.04827715
ND6.5X0X45d2.0;-3.814438;3.813164;6.499423;0;0.00074558;1.87618909;0.00058297;1.91689744;0.68190413;0.04070835
ND6.5X0X45d2.2;-4.195803;4.19453;6.499366;0;0.00061636;1.87957502;0.00105352;1.9132296;0.68020996;0.03365458
ND6.5X0X45d2.4;-4.57717;4.575896;6.499309;0;0.00049905;1.88260184;0.00184918;1.90986815;0.67828629;0.02726632
ND6.5X0X45d2.6;-4.958536;4.957262;6.499251;0;0.00039538;1.8852892;0.00324132;1.90693037;0.67590144;0.02164117
ND6.5X0X45d2.8;-5.339902;5.338628;6.499193;0;0.00030602;1.88766101;0.00576814;1.90448431;0.67254095;0.01682329
ND6.5X0X45d3.0;-5.721268;5.719994;6.499136;0;0.00023073;1.88973453;0.01049392;1.90254429;0.66714567;0.01280976
ND6.5X0X45d3.2;-6.102635;6.10136;6.499078;0;0.00016854;1.89151932;0.01953618;1.90108234;0.65758788;0.00956302
ND6.5X0X45d3.4;-6.484001;6.482727;6.499021;0;0.00011808;1.89302107;0.03710037;1.90004794;0.63964283;0.00702687
ND6.5X0X45d3.6;-6.865367;6.864093;6.498962;0;7.78E-05;1.89424424;0.0710774;1.89938687;0.60539698;0.00514263
ND6.5X0X45d3.8;-7.246733;7.245459;6.498905;0;4.60E-05;1.89519337;0.13308931;1.89905178;0.54320627;0.00385841
ND6.5X0X45d4.0;-7.628099;7.626825;6.498848;0;2.13E-05;1.89588202;0.22874395;1.89899663;0.44744315;0.00311461
ND6.5X0X45d4.2;-8.009466;8.008191;6.49879;0;2.42E-06;1.89635436;0.3391439;1.89915415;0.33698826;0.0027998
ND7.5X0X45d0.0;-0.000895;-0.000575;7.5;0;0.00135556;1.85870067;1.57E-06;1.93266451;0.68837725;0.07396384
ND7.5X0X45d0.2;-0.382261;0.380791;7.499943;0;0.00134524;1.85894386;2.62E-06;1.93238162;0.6882162;0.07343776
ND7.5X0X45d0.4;-0.763628;0.762157;7.499884;0;0.0013146;1.85985538;4.69E-06;1.93165063;0.68789896;0.07179525
ND7.5X0X45d0.6;-1.144993;1.143523;7.499827;0;0.00126518;1.86136934;8.57E-06;1.93048802;0.68743586;0.06911868
ND7.5X0X45d0.8;-1.526359;1.52489;7.49977;0;0.00119935;1.86338619;1.62E-05;1.92892235;0.6868395;0.06553617
ND7.5X0X45d1.0;-1.907726;1.906256;7.499712;0;0.00112004;1.86578869;3.11E-05;1.92699652;0.68612426;0.06120783
ND7.5X0X45d1.2;-2.289092;2.287622;7.499654;0;0.00103047;1.86845508;5.91E-05;1.92476735;0.6853051;0.05631227
ND7.5X0X45d1.4;-2.670458;2.668988;7.499596;0;0.000934;1.87126856;0.00010898;1.92230381;0.68439619;0.05103525
ND7.5X0X45d1.6;-3.051824;3.050354;7.499539;0;0.00083392;1.87412422;0.00019299;1.91968439;0.68340969;0.04556017
ND7.5X0X45d1.8;-3.433191;3.43172;7.499482;0;0.00073334;1.87693406;0.00032858;1.91699436;0.68235415;0.0400603
ND7.5X0X45d2.0;-3.814557;3.813087;7.499423;0;0.00063508;1.87963046;0.00054171;1.91432216;0.68123061;0.0346917
ND7.5X0X45d2.2;-4.195922;4.194453;7.499366;0;0.00054154;1.88216696;0.00087398;1.91175412;0.68002429;0.02958716
ND7.5X0X45d2.4;-4.577289;4.575819;7.499309;0;0.00045462;1.88451602;0.0013955;1.90936744;0.67868966;0.02485142
ND7.5X0X45d2.6;-4.958655;4.957185;7.499251;0;0.00037564;1.88666443;0.00222628;1.9072229;0.67712645;0.02055847
ND7.5X0X45d2.8;-5.340022;5.338551;7.499193;0;0.00030534;1.8886082;0.003572;1.90535954;0.67514186;0.01675133
ND7.5X0X45d3.0;-5.721387;5.719917;7.499136;0;0.00024395;1.89034851;0.00578536;1.9037933;0.67238844;0.01344479
ND7.5X0X45d3.2;-6.102754;6.101283;7.499078;0;0.00019123;1.89188951;0.00947559;1.90251977;0.66825526;0.01063026
ND7.5X0X45d3.4;-6.48412;6.48265;7.499021;0;0.00014665;1.89323748;0.01570954;1.90151987;0.66166859;0.00828239
ND7.5X0X45d3.6;-6.865486;6.864017;7.498962;0;0.00010947;1.89440032;0.02638092;1.90076638;0.65072469;0.00636606
ND7.5X0X45d3.8;-7.246853;7.245383;7.498905;0;7.88E-05;1.89538672;0.04484302;1.90022989;0.63205886;0.00484317
ND7.5X0X45d4.0;-7.628218;7.626748;7.498848;0;5.38E-05;1.89620492;0.07671649;1.89988331;0.60003898;0.0036784
ND7.5X0X45d4.2;-8.009585;8.008115;7.49879;0;3.37E-05;1.89686201;0.12970217;1.89970396;0.54695355;0.00284195
ND8.5X0X45d0.0;-0.001014;-0.000652;8.5;0;0.0010366;1.86885371;1.05E-05;1.92538701;0.68587919;0.0565333
ND8.5X0X45d0.2;-0.382381;0.380714;8.499943;0;0.00102977;1.86899322;1.42E-05;1.92517435;0.68576887;0.05618113
ND8.5X0X45d0.4;-0.763747;0.76208;8.499884;0;0.00100946;1.86954635;2.02E-05;1.92463685;0.6855429;0.0550905
ND8.5X0X45d0.6;-1.145113;1.143446;8.499827;0;0.00097653;1.87048273;2.91E-05;1.92379014;0.68520844;0.05330741
ND8.5X0X45d0.8;-1.526479;1.524813;8.49977;0;0.00093233;1.8717536;4.28E-05;1.9226588;0.68477423;0.0509052
ND8.5X0X45d1.0;-1.907845;1.906179;8.499712;0;0.00087859;1.87329811;6.44E-05;1.92127652;0.68425062;0.04797841
ND8.5X0X45d1.2;-2.289212;2.287545;8.499654;0;0.0008173;1.87504941;9.80E-05;1.91968525;0.68364871;0.04463585
ND8.5X0X45d1.4;-2.670577;2.668911;8.499596;0;0.00075058;1.87693993;0.00014948;1.91793385;0.68297946;0.04099392
ND8.5X0X45d1.6;-3.051944;3.050277;8.499539;0;0.00068054;1.87890589;0.00022726;1.91607607;0.68225247;0.03717018
ND8.5X0X45d1.8;-3.43331;3.431643;8.499482;0;0.00060924;1.88089043;0.000343;1.91416823;0.68147438;0.0332778
ND8.5X0X45d2.0;-3.814676;3.813011;8.499423;0;0.00053856;1.88284583;0.0005137;1.91226645;0.68064623;0.02942062
ND8.5X0X45d2.2;-4.196042;4.194376;8.499366;0;0.00047014;1.88473441;0.00076481;1.91042359;0.67975956;0.02568918
ND8.5X0X45d2.4;-4.577408;4.575742;8.499309;0;0.00040531;1.88652832;0.00113534;1.90868601;0.6787903;0.02215769
ND8.5X0X45d2.6;-4.958775;4.957109;8.499251;0;0.00034509;1.8882084;0.00168565;1.90709076;0.67769011;0.01888236
ND8.5X0X45d2.8;-5.340141;5.338475;8.499193;0;0.00029015;1.88976265;0.00250944;1.90566371;0.67637368;0.01590106
ND8.5X0X45d3.0;-5.721507;5.71984;8.499136;0;0.00024086;1.89118461;0.00375256;1.90441895;0.67469972;0.01323434
ND8.5X0X45d3.2;-6.102873;6.101207;8.499078;0;0.00019728;1.89247209;0.00564332;1.90335969;0.67244084;0.01088759
